task,classifier,feature_set,fold,n_train,n_test,auc,bal_acc,f1
VI1,logreg,egemaps,3,36,9,0.7000000000000001,0.775,0.75
VI1,logreg,egemaps,4,36,9,0.95,0.9,0.8888888888888888
VI1,rf,egemaps,0,36,9,1.0,0.8,0.75
VI1,rf,egemaps,1,36,9,1.0,1.0,1.0
VI1,rf,egemaps,2,36,9,1.0,0.875,0.9090909090909091
VI1,rf,egemaps,3,36,9,0.9,0.675,0.6666666666666666
VI1,rf,egemaps,4,36,9,1.0,1.0,1.0
VI1,gbm,egemaps,0,36,9,1.0,0.9,0.8888888888888888
VI1,gbm,egemaps,1,36,9,1.0,1.0,1.0
VI1,gbm,egemaps,2,36,9,1.0,1.0,1.0
VI1,gbm,egemaps,3,36,9,0.75,0.6,0.6666666666666666
VI1,gbm,egemaps,4,36,9,1.0,1.0,1.0
VI1,xgb,egemaps,0,36,9,0.9,0.8,0.75
VI1,xgb,egemaps,1,36,9,1.0,0.9,0.8888888888888888
VI1,xgb,egemaps,2,36,9,1.0,1.0,1.0
VI1,xgb,egemaps,3,36,9,0.9,0.675,0.6666666666666666
VI1,xgb,egemaps,4,36,9,1.0,1.0,1.0
VI1,logreg,w2v2,0,36,9,1.0,0.9,0.8888888888888888
VI1,logreg,w2v2,1,36,9,0.95,0.875,0.9090909090909091
VI1,logreg,w2v2,2,36,9,0.7,0.575,0.5
VI1,logreg,w2v2,3,36,9,0.85,0.875,0.8571428571428571
